recipe_id,tool_name,tool_quantity
1,frying pan,1
1,paper towel,1
2,bowl,1
3,oven,1
3,bowl,1
4,frying pan,1
4,bowl,1
5,bowl,1
6,oven,1
6,large plate,1
6,stretch film,
7,bowl,1
8,food processor,1
8,bowl,1
9,pot,1
9,bowl,1
9,large plate,1
9,skillet,1
10,bowl,1
11,oven,1
11,bowl,1
12,oven,1
12,bowl,2
12,oven paper,
13,frying pan,1
13,bowl,1
13,large plate,1
14,oven,1
15,bowl,1
16,frying pan,1
16,bowl,1
17,frying pan,1
17,large plate,1
17,kitchen paper,
18,frying pan,1
18,bowl,1
19,oven,1
19,tray,1
19,pot,1
20,frying pan,1
20,large plate,1
20,kitchen paper,
21,frying pan,1
22,frying pan,1
23,frying pan,1
24,barbecue,1
24,wooden skewer,30
25,bowl,1
25,frying pan,1
26,oven,1
27,tray,1
27,bowl,1
28,bowl,1
28,frying pan,1
29,skewer,30
29,bowl,1
29,barbecue,1
30,frying pan,1
30,pot,1
31,pot,1
31,bowl,1
31,oven tray,1
31,oven,1
32,bowl,1
32,frying pan,1
32,iron pan,1
33,barbecue,1
33,stretch film, 
33,cup,2
34,tray,1
34,oven,1
35,sealable container,1
35,food processor,1
35,tray,1
36,blender,1
36,peeler,1
36,spiral cutter,1
36,plate,1
37,food processor,1
37,bowl,1
38,blender,1
38,bowl,1
39,pot,1
40,pot,1
41,large pot,1
42,bowl,1
43,barbecue,1
43,frying pan,1
44,large pot,1
44,porcelain plate,1
44,small pot,1
45,oven,1
45,bowl,1
45,baking tray,1
45,toothpick,1
46,bowl,1
47,oven,1
47,stretch film,
47,bowl,1
48,small pot,1
48,oven,1
48,large pot,1
48,bowl,1
49,oven,1
49,frying pan,1
49,rolling pin,1
50,food processor,1
50,bowl,1
51,food processor,1
51,bowl,1
52,oven,1
52,bowl,1
53,bowl,1
53,oven,1
53,frying pan,1
53,whisk,1
54,grill,1
54,toothpick,
55,pot,1
55,food processor,1
55,frying pan,1
56,large pot,1
56,frying pan,1
56,bowl,1
57,bowl,1
57,frying pan,1
57,pot,1
57,oven paper,
58,bowl,2
58,frying pan,2
59,frying pan,1
59,bowl,1
60,pot,2
60,bowl,1
60,stretch film,
61,crepe pan,1
61,blender,1
61,ladle,1
61,napkin,
62,large pot,1
63,large pot,1
63,large pan,1
64,large pot,2
65,pot,2
66,bowl,1
67,pot,2
68,large pot,1
69,oven,1
69,pot,2
70,pot,2
70,bowl,1
70,frying pan,1
71,oven,1
71,bowl,1
71,oven tray,1
72,frying pan,1
72,large pot,2
72,small pot,1
72,food processor,1
73,pot,1
73,frying pan,1
73,iron pan,1
74,frying pan,1
74,large pot,1
74,schiacciapassatelli,1
75,oven,1
75,oven casserole,1
75,oven tray,1
75,frying pan,1
76,large bowl,1
76,oven,1
77,pot,1
77,pan,1
77,tray,1
78,bowl,1
78,oven,1
78,cake pan,1
79,pan,1
79,oven,1
79,large pan,1
80,large bowl,2
80,small aluminium tray,4
80,frying pan,1
80,oven,1
81,bowl,1
81,frying pan,1
81,small aluminium tray,4
81,oven,1
82,bowl,2
82,large plate,1
83,large bowl,1
83,flat pan,1
83,pot,1
84,pot,2
84,large pan,1
